GATE                       SCOPE                           TIER   MEASURED                                                       GATE THRESHOLD                                                   STATUS
lidar  synthetic (LiDAR)                                  ceiling_height     2  100%       0.0051
lidar  synthetic (LiDAR)                                  footprint          2  100%       0.0002
lidar  synthetic (LiDAR)                                  interval_coverage  2  100%       1.0000
lidar  synthetic (LiDAR)                                  opening_widths     2  100%       1.0000
lidar  synthetic (LiDAR)                                  wall_lengths       2  100%       1.0000
photo  Oneplus nord 2T                                    ceiling_height     0  -          -
photo  Oneplus nord 2T                                    footprint          0  -          -
photo  Oneplus nord 2T                                    interval_coverage  0  -          -
photo  Oneplus nord 2T                                    opening_widths     0  -          -
photo  Oneplus nord 2T                                    wall_lengths       0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         ceiling_height     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         footprint          0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         interval_coverage  0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         opening_widths     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         wall_lengths       0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  ceiling_height     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  footprint          0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  interval_coverage  0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  opening_widths     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  wall_lengths       0  -          -
video  Mac Pro                                            ceiling_height     0  -          -
video  Mac Pro                                            footprint          0  -          -
video  Mac Pro                                            interval_coverage  0  -          -
video  Mac Pro                                            opening_widths     0  -          -
video  Mac Pro                                            wall_lengths       0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  ceiling_height     0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  footprint          0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  interval_coverage  0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  opening_widths     0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  wall_lengths       0  -          -

results      fixloop/round1_after/results.json
